Id,CAS,SMILES,Status,Experimental value [log(L/kg)],Predicted value [log(L/kg)],GNN_status
562,37680-73-2,c1cc(c(cc1Cl)c2cc(c(cc2Cl)Cl)Cl)Cl,Training,4.63,4.3710585,Valid
563,38380-02-8,c1cc(c(c(c1c2cc(ccc2Cl)Cl)Cl)Cl)Cl,Training,4.02,4.5245914,Train
564,38444-93-8,c2cc(c1cccc(c1Cl)Cl)c(c(c2)Cl)Cl,Training,4.17,4.6640563,Train
565,39227-58-2,O1c3ccccc3(Oc2c1c(cc(c2Cl)Cl)Cl),Training,2.895,3.573542,Train
566,39569-21-6,c1(c(c(c(c(c1Br)Br)Br)Br)Cl)C,Training,3.98,3.13949,Test
567,40690-89-9,N#CCCN(c2ccc(N=Nc1ccc(cc1)[N+](=O)[O-])cc2)CCOC(=O)c3ccccc3,Training,0.829,1.3383536,Test
568,41122-70-7,N#Cc1ccc(cc1)c2ccc(cc2)CCCCCC,Training,3.647,2.2483785,Train
569,41464-40-8,c1cc(cc(c1c2cc(ccc2Cl)Cl)Cl)Cl,Training,4.26,4.485575,Train
570,41464-41-9,c2cc(c(c1cc(ccc1Cl)Cl)c(c2)Cl)Cl,Training,4.46,4.6158357,Train
571,41464-42-0,c1cc(c(cc1Cl)c2cc(cc(c2)Cl)Cl)Cl,Training,4.85,4.4949875,Train
572,42240-73-3,Nc2ccc(c1ccc(N)c(c1Cl)Cl)c(c2Cl)Cl,Training,3.379,3.8609319,Train
573,47377-16-2,O=S(=O)(O)c1ccc(cc1)CCCCCCCCCCCCCC,Training,0.52,1.9665685,Train
574,50375-10-5,O(c1c(ccc(c1Cl)Cl)Cl)C,Training,2.526,2.9643285,Train
575,50876-32-9,CC1CC(C)CC(C)(C)C1,Training,3.65,3.377701,Train
576,50925-42-3,O=S(=O)(O)c7cccc6c7(cc(N=Nc1ccc(cc1C)Nc2nc(nc(n2)NCCO)Nc5ccc(N=Nc4cc3c(cccc3S(=O)(=O)O)c(c4)S(=O)(=O)O)c(c5)C)cc6S(=O)(=O)O),Training,0.498,1.1228838,Valid
577,51207-31-9,o2c1cc(c(cc1c3cc(c(cc23)Cl)Cl)Cl)Cl,Training,3.767,3.2937188,Valid
578,51892-26-3,O(c1ccccc1)c2ccc(cc2Cl)Cl,Training,3.968,3.9113357,Train
579,52322-80-2,O(c1ccccc1)c2cc(c(cc2Cl)Cl)Cl,Training,3.645,4.06554,Train
580,54135-80-7,O(c1ccc(c(c1Cl)Cl)Cl)C,Training,2.964,2.850566,Train
582,56348-72-2,O(c1ccc(c(c1)Cl)Cl)c2ccc(c(c2)Cl)Cl,Training,4.338,4.1438446,Train
583,56558-16-8,c2cc(c(c1c(cc(cc1Cl)Cl)Cl)c(c2)Cl)Cl,Training,4.81,4.6305513,Train
584,56558-17-9,c1cc(c(cc1c2c(cc(cc2Cl)Cl)Cl)Cl)Cl,Training,4.81,4.327436,Train
585,57465-28-8,c1cc(c(cc1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl,Training,4.68,4.5797467,Test
586,57567-84-7,O=C(O)C1CCC(C)CC1(C(=O)O),Training,-0.159,-0.21819142,Train
587,59039-21-3,O(c1ccc(cc1)Cl)c2ccc(cc2Cl)Cl,Training,3.79,3.960646,Train
588,59365-60-5,OCC(O)c1ccccc1Cl,Training,0.245,0.80382025,Train
589,59722-76-8,O=C2c4ccccc4(C(=O)c3c(N)c(Oc1ccc(cc1)Br)cc(O)c23),Training,1.993,1.9253306,Test
590,60123-64-0,O(c1ccc(cc1Cl)Cl)c2cc(c(cc2Cl)Cl)Cl,Training,4.21,4.0933647,Train
591,60123-65-1,O(c1ccc(c(c1)Cl)Cl)c2cc(c(cc2Cl)Cl)Cl,Training,4.08,4.1280103,Train
592,60145-21-3,c1cc(c(cc1Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,Training,4.58,4.4595923,Train
593,60628-17-3,O(c1ccccc1)P(Oc2ccccc2)OCCCCCCCCCCCCC,Training,1.547,2.354677,Train
594,60782-58-3,O[Si](CCCCCC)(CCCCCC)CCCCCC,Training,1.507,2.9633515,Train
595,61328-45-8,O(c1ccc(cc1)Cl)c2cc(c(cc2Cl)Cl)Cl,Training,4.11,4.2318087,Test
596,61328-46-9,O(c1ccc(c(c1)Cl)Cl)c2ccc(cc2Cl)Cl,Training,4.24,4.1977277,Valid
597,61968-52-3,O=C(OCCN(c2ccc(N=Nc1ccc(cc1Cl)[N+](=O)[O-])c(c2)NC(=O)CC)CCOC(=O)C)C,Training,0.729,1.2977159,Train
598,62338-09-4,CCCCCCCC(C)C(C)(C)C,Training,3.34,2.822487,Test
599,62615-08-1,o2c1ccc(cc1c3c2cc(c(c3Cl)Cl)Cl)Cl,Training,3.11,3.4788396,Test
600,66230-04-4,N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3,Training,3.174,2.8608303,Test
601,66735-04-4,O=C(O)C(C)Cc1ccc(cc1)C(C)(C)C,Training,0.351,1.1987818,Train
602,67028-18-6,O1c3cc(ccc3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl,Training,3.35,3.7567387,Train
603,71767-67-4,N#CCCN(c2ccc(N=Nc1c(cc(cc1Cl)[N+](=O)[O-])Cl)cc2)CCC#N,Training,1.578,1.4365898,Train
604,74918-40-4,o2c1cc(ccc1c3cccc(c23)Cl)Cl,Training,3.01,3.4951315,Train
605,83704-22-7,o2c1cc(ccc1c3c2cc(c(c3Cl)Cl)Cl)Cl,Training,3.41,3.3938851,Train
606,104294-16-8,O(c1ccc(cc1Cl)Cl)c2c(cc(cc2Cl)Cl)Cl,Training,3.95,4.1356115,Train
607,119168-77-3,O=C(NCc1ccc(cc1)C(C)(C)C)c2c(c(nn2C)CC)Cl,Training,1.13,1.6200224,Train
608,123251-96-7,O=S(=O)(O)c1cc(cc(c1(N))Cl)c2cc(c(N)c(c2)S(=O)(=O)O)Cl,Training,-0.398,0.69984835,Train
609,126690-66-2,C(=C(C)CC(C)C)C(C)C,Training,3.29,3.0835936,Train
610,N.A.,CC(C)CC1CC(C)CCC1(C),Training,3.37,3.449746,Test
611,N.A.,C#CCOCOc1ccc(cc1)Cl,Training,2.03,0.9277316,Test
612,N.A.,OCC(O)COc1ccc(cc1)C(C)CC,Training,0.63,0.58489954,Test
613,N.A.,c1cc(c(c(c1Br)Br)Br)Br,Training,3.18,3.3572023,Test
614,84-15-1,c1ccc(cc1)c3ccccc3(c2ccccc2),Training,3.11,2.8636022,Test
615,86-74-8,c1ccc3c(c1)[nH]c2ccccc23,Training,2.128,1.6149201,Train
616,92-94-4,c1ccc(cc1)c2ccc(cc2)c3ccccc3,Training,1.773,3.2216756,Train
617,99-62-7,c1cc(cc(c1)C(C)C)C(C)C,Training,3.159,3.1357799,Test
618,102-82-9,N(CCCC)(CCCC)CCCC,Training,1.199,0.6781451,Train
619,115-86-6,O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3,Training,2.476,2.287748,Train
620,117-18-0,O=[N+]([O-])c1c(c(cc(c1Cl)Cl)Cl)Cl,Training,3.255,2.0078423,Train
621,1634-04-4,O(C)C(C)(C)C,Training,0.18,1.120607,Train
622,2814-20-2,O=C1N=C(NC(=C1)C)C(C)C,Training,-0.035,0.7360665,Train
623,3846-71-7,Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)n2nc3ccccc3(n2),Training,3.536,2.2645833,Test
624,26087-47-8,O=P(OC(C)C)(OC(C)C)SCc1ccccc1,Training,0.996,2.0057046,Train
625,01/02/1918,O=C(O)c1nc(c(c(N)c1Cl)Cl)Cl,Training,-1.7,0.65760195,Train
626,06/05/3813,O=C(O)CN2C(=O)Sc1cccc(c12)Cl,Training,1.556,1.2249312,Train
627,107534-96-3,OC(Cn1ncnc1)(CCc2ccc(cc2)Cl)C(C)(C)C,Training,1.996,1.6583526,Train
628,118134-30-8,O1CC(OC12(CCC(CC2)C(C)(C)C))CN(CC)CCC,Training,1.898,3.2329867,Valid
629,121552-61-2,n1c(nc(cc1C)C2CC2)Nc3ccccc3,Training,2.594,1.5990726,Train
630,131983-72-7,O=C(OCC)C1CC(=O)C(C(=O)C1)=C(O)C2CC2,Training,0.778,-0.24192628,Test
631,145701-23-1,O=S(=O)(Nc1c(F)cccc1(F))c2nc3c(F)cnc(OC)n3(n2),Training,0.176,0.44644687,Train
632,1689-83-4,N#Cc1cc(c(O)c(c1)I)I,Training,1.462,1.5294992,Train
634,17804-35-2,O=C(OC)Nc2nc1ccccc1n2(C(=O)NCCCC),Training,1.431,1.7099631,Train
635,180409-60-3,O=C(NC(=NOCC1CC1)c2c(F)c(F)ccc2C(F)(F)F)Cc3ccccc3,Training,2.723,2.6246753,Train
636,19044-88-3,O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])S(=O)(=O)N,Training,1.88,3.4248407,Test
637,23135-22-0,O=C(ON=C(C(=O)N(C)C)SC)NC,Training,0.301,0.8232152,Train
639,298-00-0,O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1,Training,1.85,1.8275357,Train
640,309-00-2,C1=CC2CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,Training,3.905,4.027274,Train
641,314-40-9,O=C1NC(=C(C(=O)N1C(C)CC)Br)C,Training,0.69,0.48383623,Valid
642,33089-61-1,N(=CN(C=Nc1ccc(cc1C)C)C)c2ccc(cc2C)C,Training,3.264,1.8960284,Train
643,35554-44-0,n1ccn(c1)CC(OCC=C)c2ccc(cc2Cl)Cl,Training,1.806,1.9859117,Train
645,43222-48-6,c1ccc(cc1)c3cc(c2ccccc2)[n+](n3C)C,Training,1.301,2.3376791,Train
646,51235-04-2,O=C1N=C(N(C(=O)N1C2CCCCC2)C)N(C)C,Training,0.845,0.9281285,Train
647,55335-06-3,O=C(O)COc1nc(c(cc1Cl)Cl)Cl,Training,-0.097,1.1630737,Train
648,57-74-9,C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,Training,4.28,3.9362106,Train
649,58-89-9,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,Training,2.563,3.2030427,Valid
650,5902-51-2,O=C1NC(=C(C(=O)N1C(C)(C)C)Cl)C,Training,0.778,0.41174486,Train
651,5915-41-3,n1c(nc(nc1NC(C)(C)C)Cl)NCC,Training,0.845,0.8673865,Train
652,60207-90-1,n1cnn(c1)CC2(OCC(O2)CCC)c3ccc(cc3Cl)Cl,Training,2.064,1.9118444,Test
653,60-57-1,O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl,Training,3.822,3.914006,Train
654,66215-27-8,n1c(nc(nc1N)NC2CC2)N,Training,0,0.5221777,Train
655,66246-88-6,n1cnn(c1)CC(c2ccc(cc2Cl)Cl)CCC,Training,1.973,1.7727333,Train
656,67306-00-7,c1cc(ccc1CC(C)CN2CCCCC2)C(C)(C)C,Training,2.204,2.976278,Train
657,67564-91-4,O1C(C)CN(CC1C)CC(C)Cc2ccc(cc2)C(C)(C)C,Training,3.031,1.4454665,Train
658,67747-09-5,O=C(n1cncc1)N(CCOc2c(cc(cc2Cl)Cl)Cl)CCC,Training,2.594,1.8084425,Valid
659,68085-85-8,N#CC(OC(=O)C1C(C=C(C(F)(F)F)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3,Training,3.29,2.8588624,Test
660,69377-81-7,O=C(O)COc1nc(F)c(c(N)c1Cl)Cl,Training,1.793,0.29228193,Train
661,7085-19-0,O=C(O)C(Oc1ccc(cc1C)Cl)C,Training,0.477,0.5807081,Test
662,72178-02-0,O=C(NS(=O)(=O)C)c2cc(Oc1ccc(cc1Cl)C(F)(F)F)ccc2[N+](=O)[O-],Training,0.778,3.0075808,Train
663,7287-19-6,n1c(nc(nc1NC(C)C)SC)NC(C)C,Training,1.929,0.8358599,Train
664,76-44-8,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,Training,3.963,4.025008,Test
665,77-73-6,C2=CC3C1C=CC(C1)C3(C2),Training,2.412,2.4852197,Train
666,78-87-5,CC(CCl)Cl,Training,0.565,1.0948288,Train
667,79277-27-3,O=C(OC)c1c(ccs1)S(=O)(=O)NC(=O)Nc2nc(nc(n2)C)OC,Training,-0.097,-0.14450511,Test
668,79538-32-2,O=C(OCc1c(F)c(F)c(c(F)c1(F))C)C2C(C=C(C(F)(F)F)Cl)C2(C)(C),Training,3.477,2.8494794,Valid
670,82097-50-5,O=C(Nc1nc(nc(n1)C)OC)NS(=O)(=O)c2ccccc2(OCCCl),Training,0.114,-0.22856016,Train
671,83055-99-6,O=C(OC)c1ccccc1CS(=O)(=O)NC(=O)Nc2nc(OC)cc(n2)OC,Training,0.204,-0.20503119,Train
672,834-12-8,n1c(nc(nc1NC(C)C)SC)NCC,Training,1.519,0.9407222,Train
673,83-79-4,O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34),Training,1.41,1.936185,Train
674,84087-01-4,O=C(O)c1c2ncc(cc2(ccc1Cl))Cl,Training,-0.097,-0.12837404,Train
675,84-65-1,O=C1c3ccccc3(C(=O)c2ccccc12),Training,2,1.9302543,Train
676,85509-19-9,Fc1ccc(cc1)[Si](c2ccc(F)cc2)(C)Cn3ncnc3,Training,2.398,2.1215684,Valid
677,94-74-6,O=C(O)COc1ccc(cc1C)Cl,Training,0,0.7148141,Train
678,94-75-7,O=C(O)COc1ccc(cc1Cl)Cl,Training,-0.5,0.9299924,Train
679,95737-68-1,n1ccccc1OC(C)COc3ccc(Oc2ccccc2)cc3,Training,3.14,1.8968545,Valid
680,95977-29-0,O=C(O)C(Oc2ccc(Oc1ncc(cc1Cl)C(F)(F)F)cc2)C,Training,0.94,1.6416713,Train
681,99387-89-0,FC(F)(F)c2cc(ccc2(N=C(n1cncc1)COCCC))Cl,Training,2.594,2.0038574,Train
683,105-67-9,Oc1ccc(cc1C)C,Training,1.18,1.153544,Train
684,2539-17-5,Oc1c(OC)c(c(c(c1Cl)Cl)Cl)Cl,Training,2.04,3.1155915,Train
685,57057-83-7,Oc1cc(c(c(c1(OC))Cl)Cl)Cl,Training,2.51,2.655613,Test
686,108-39-4,Oc1cccc(c1)C,Training,1.03,0.92370486,Train
687,2668-24-8,Oc1c(OC)cc(c(c1Cl)Cl)Cl,Training,2.17,2.50117,Valid
688,2460-49-3,Oc1cc(c(cc1(OC))Cl)Cl,Training,1.922,2.594937,Train
689,74-11-3,O=C(O)c1ccc(cc1)Cl,Training,1,0.120640785,Train
690,65-85-0,O=C(O)c1ccccc1,Training,1,0.4194027,Test
691,1689-84-5,N#Cc1cc(c(O)c(c1)Br)Br,Training,0.835,1.7867627,Train
692,113136-77-9,O=C(O)C2CC2(C(=O)Nc1ccc(cc1Cl)Cl),Training,-0.398,1.6138558,Train
693,114311-32-9,O=C(O)c2cc(cnc2(C1=NC(=O)C(N1)(C)C(C)C))COC,Training,-1,1.19469,Train
694,25155-30-0,O=S(=O)(O)c1ccccc1CCCCCCCCCCCC,Training,2.017,1.4114339,Valid
695,1779-48-2,OP(O)c1ccccc1,Training,-0.071,0.67647755,Train
696,178928-70-6,OC(Cc1ccccc1Cl)(CN2N=CNC2=S)C3(CC3)Cl,Training,1.274,1.7937952,Test
697,74051-80-2,O=C1C(=C(O)CC(C1)CC(C)SCC)C(=NOCC)CCC,Training,0.93,1.2304713,Train
698,93-72-1,O=C(O)C(Oc1cc(c(cc1Cl)Cl)Cl)C,Training,1.763,0.38461894,Train
699,22259-30-9,O=C(Oc1cccc(N=CN(C)C)c1)NC,Training,0,0.767453,Train
700,95-16-9,n1csc2ccccc12,Training,0.708,1.1603969,Train
701,260-94-6,n1c3ccccc3(cc2ccccc12),Training,2.4,1.5382899,Train
702,1563-66-2,O=C(Oc2cccc1c2(OC(C)(C)C1))NC,Training,1.079,1.0797764,Train
703,1194-65-6,N#Cc1c(cccc1Cl)Cl,Training,2,2.1956182,Train
704,74223-64-6,O=C(OC)c1ccccc1S(=O)(=O)NC(=O)Nc2nc(nc(n2)C)OC,Training,0,-0.1826435,Train
705,43121-43-3,O=C(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C,Training,1.806,1.7707171,Test
706,52918-63-5,N#CC(OC(=O)C1C(C=C(Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3,Training,3.146,2.832697,Train
708,30560-19-1,O=C(NP(=O)(OC)SC)C,Training,-1.523,0.084276944,Test
709,57960-19-7,O=C(OC=1C(=O)c2ccccc2(C(=O)C=1CCCCCCCCCCCC))C,Training,2.38,1.5389254,Train
710,34256-82-1,O=C(N(c1c(cccc1CC)C)COCC)CCl,Training,1.301,0.9453851,Train
711,N.A.,OC(c2cccc1nnsc12)=S,Training,2.068,0.53208715,Train
712,74070-46-5,O=[N+]([O-])c2ccc(Oc1ccccc1)c(c2(N))Cl,Training,3.462,2.5723186,Train
713,101007-06-1,N#CC(OC(=O)C1C(C=CC(=O)OC(C(F)(F)F)C(F)(F)F)C1(C)(C))c3cccc(Oc2ccccc2)c3,Training,2.731,3.0649033,Train
714,150114-71-9,O=C(O)c1nc(cc(N)c1Cl)Cl,Training,2,-0.527851,Valid
715,3337-71-1,O=C(OC)NS(=O)(=O)c1ccc(N)cc1,Training,-0.125,0.28243482,Test
716,71626-11-4,O=C(OC)C(N(C(=O)Cc1ccccc1)c2c(cccc2C)C)C,Training,1.756,0.95333546,Test
717,1861-40-1,O=[N+]([O-])c1cc(cc(c1N(CC)CCCC)[N+](=O)[O-])C(F)(F)F,Training,3.196,3.1594365,Train
718,82560-54-1,O=C(Oc2cccc1c2(OC(C)(C)C1))N(C)SN(CCC(=O)OCC)C(C)C,Training,1.954,1.8348999,Train
719,741-58-2,O=S(=O)(NCCSP(OC(C)C)(OC(C)C)=S)c1ccccc1,Training,2.944,1.2268503,Train
720,25057-89-0,O=C1c2ccccc2(NS(=O)(=O)N1C(C)C),Training,1.322,1.0091453,Valid
721,68359-37-5,N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3ccc(F)c(Oc2ccccc2)c3,Training,2.704,3.0008395,Train
722,42576-02-3,O=C(OC)c2cc(Oc1ccc(cc1Cl)Cl)ccc2[N+](=O)[O-],Training,3.176,2.7291203,Train
723,N.A.,OC(C(Oc1ccc(cc1)c2ccccc2)n3ncnc3)C(C)(C)C,Training,2.307,1.6699544,Test
724,2104-96-3,O(c1cc(c(cc1Cl)Br)Cl)P(OC)(OC)=S,Training,0.65,2.7505922,Train
725,41483-43-6,O=S(=O)(Oc1nc(nc(c1CCCC)C)NCC)N(C)C,Training,2.267,2.0152335,Train
726,69327-76-0,O=C2N(c1ccccc1)CSC(=NC(C)(C)C)N2C(C)C,Training,2.707,1.7725646,Train
727,23184-66-9,O=C(N(c1c(cccc1CC)CC)COCCCC)CCl,Training,0.38,1.2041298,Train
728,33629-47-9,O=[N+]([O-])c1cc(cc(c1(NC(C)CC))[N+](=O)[O-])C(C)(C)C,Training,3.29,3.1408052,Test
729,2008-41-5,O=C(N(CC(C)C)CC(C)C)SCC,Training,2.613,2.077374,Train
730,95465-99-9,O=P(OCC)(SC(C)CC)SC(C)CC,Training,2.342,2.212403,Train
731,63-25-2,O=C(Oc1cccc2ccccc12)NC,Training,1.643,0.7963619,Test
732,55285-14-8,O=C(Oc2cccc1c2(OC(C)(C)C1))N(C)SN(CCCC)CCCC,Training,2.996,1.9457394,Train
733,128639-02-1,O=C(OCC)C(Cc1cc(c(F)cc1Cl)N2N=C(N(C2(=O))C(F)F)C)Cl,Training,2.246,1.7191366,Train
734,101-21-3,O=C(OC(C)C)Nc1cccc(c1)Cl,Training,2.158,1.3423277,Train
735,5598-13-0,n1c(OP(OC)(OC)=S)c(cc(c1Cl)Cl)Cl,Training,3.255,1.7399664,Train
736,1861-32-1,O=C(OC)c1c(c(c(C(=O)OC)c(c1Cl)Cl)Cl)Cl,Training,3.411,0.33289996,Train
737,142891-20-1,O=C(OCC)C(=Cc1cc(ccc1Cl)N2C(=O)C3=C(C2(=O))CCCC3)Cl,Training,1.38,1.9373691,Train
738,99129-21-2,O=C1C(C(=O)CC(C1)CC(C)SCC)=C(NOCC=CCl)CC,Training,0.322,1.4087309,Valid
739,105512-06-9,O=C(OCC#C)C(Oc2ccc(Oc1ncc(cc1(F))Cl)cc2)C,Training,1.531,0.94759434,Test
740,74115-24-5,n1nc(nnc1c2ccccc2Cl)c3ccccc3Cl,Training,2.394,2.5759273,Train
741,81777-89-1,O=C1N(OCC1(C)C)Cc2ccccc2Cl,Training,1.602,1.6940829,Train
742,120116-88-3,N#Cc2nc(c(c1ccc(cc1)C)n2S(=O)(=O)N(C)C)Cl,Training,2.456,2.0840583,Test
743,122008-85-9,N#Cc2ccc(Oc1ccc(OC(C(=O)OCCCC)C)cc1)c(F)c2,Training,0.875,1.4998614,Train
744,94361-06-5,OC(c1ccc(cc1)Cl)(Cn2ncnc2)C(C)C3CC3,Training,1.447,1.9259486,Train
745,13684-56-5,O=C(Oc1cccc(c1)NC(=O)OCC)Nc2ccccc2,Training,2.196,2.1983433,Train
746,99-30-9,O=[N+]([O-])c1cc(c(N)c(c1)Cl)Cl,Training,1.875,1.7500857,Train
747,87130-20-9,O=C(OC(C)C)Nc1ccc(OCC)c(OCC)c1,Training,2.519,1.9097567,Train
748,119446-68-3,n1cnn(c1)CC2(OCC(O2)C)c4ccc(Oc3ccc(cc3)Cl)cc4Cl,Training,2.505,1.9551457,Train
749,104653-34-1,O=C2c1ccccc1SC(O)=C2C6c3ccccc3CC(c4ccc(cc4)c5ccc(cc5)Br)C6,Training,4.602,2.0569992,Test
750,35367-38-5,O=C(NC(=O)c1c(F)cccc1(F))Nc2ccc(cc2)Cl,Training,2.505,2.8183348,Test
751,83164-33-4,O=C(Nc1ccc(F)cc1(F))c3cccnc3(Oc2cccc(c2)C(F)(F)F),Training,3.106,1.8419876,Test
752,55290-64-7,O=S1(=O)(C(=C(C)S(=O)(=O)CC1)C),Training,0.633,0.049865045,Train
753,149961-52-4,O=C(NC)C(=NOC)c1ccccc1COc2cc(ccc2C)C,Training,1.681,1.775339,Train
754,3347-22-6,N#CC2=C(C#N)SC=1C(=O)c3ccccc3(C(=O)C=1S2),Training,1.431,1.5842259,Train
755,03/10/2439,N(=C(N)N)CCCCCCCCCCCC,Training,1.204,0.3000435,Test
757,145-73-3,O=C(O)C2C1OC(CC1)C2(C(=O)O),Training,-0.398,0.015914857,Train
758,N.A.,Fc1ccc(cc1)C3(OC3(c2ccccc2Cl))(Cn4ncnc4),Training,1.845,2.0632203,Train
759,26225-79-6,O=S(=O)(Oc1ccc2OC(OCC)C(c2(c1))(C)C)C,Training,2.158,1.525507,Train
760,153233-91-1,Fc1cccc(F)c1C3=NC(c2ccc(cc2(OCC))C(C)(C)C)CO3,Training,3.462,2.4371169,Train
762,131807-57-3,O=C4OC(c2ccc(Oc1ccccc1)cc2)(C(=O)N4(Nc3ccccc3))C,Training,3.477,2.2190926,Train
763,22224-92-6,O=P(Oc1ccc(c(c1)C)SC)(OCC)NC(C)C,Training,2.041,0.9928781,Train
764,60168-88-9,OC(c1cncnc1)(c2ccc(cc2)Cl)c3ccccc3Cl,Training,2.053,3.0454805,Test
765,120928-09-8,n1cnc3ccccc3(c1OCCc2ccc(cc2)C(C)(C)C),Training,2.844,2.2800827,Test
766,114369-43-6,N#CC(c1ccccc1)(Cn2ncnc2)CCc3ccc(cc3)Cl,Training,2.204,1.7643968,Test
768,126833-17-8,O=C(Nc1ccc(O)c(c1Cl)Cl)C2(C)(CCCCC2),Training,2.199,0.7902222,Train
769,66441-23-4,O=C(OCC)C(Oc3ccc(Oc1nc2ccc(cc2(o1))Cl)cc3)C,Training,0.69,2.0224733,Test
770,79127-80-3,O=C(OCC)NCCOc2ccc(Oc1ccccc1)cc2,Training,2.332,2.068725,Valid
771,N.A.,N#CC(OC(=O)C1C(C)(C)C1(C)(C))c3cccc(Oc2ccccc2)c3,Training,3.041,2.981222,Test
772,134098-61-6,O=C(OC(C)(C)C)c1ccc(cc1)CON=Cc3c(nn(c3(Oc2ccccc2))C)C,Training,3.204,2.0418549,Train
773,900-95-8,O=C(O[Sn](c1ccccc1)(c2ccccc2)c3ccccc3)C,Training,3.398,2.604108,Test
774,79622-59-6,O=[N+]([O-])c2cc(c(c(c2(Nc1ncc(cc1Cl)C(F)(F)F))[N+](=O)[O-])Cl)C(F)(F)F,Training,3.011,3.1355195,Train
775,131341-86-1,N#Cc1c[nH]cc1c3cccc2OC(F)(F)Oc23,Training,2.563,2.2569218,Valid
776,142459-58-3,O=C(N(c1ccc(F)cc1)C(C)C)COc2nnc(C(F)(F)F)s2,Training,1.854,2.1978064,Test
777,2164-17-2,O=C(Nc1cccc(c1)C(F)(F)F)N(C)C,Training,1.606,1.479268,Test
778,361377-29-9,Fc2c(ncnc2(Oc1ccccc1Cl))Oc4ccccc4(C(=NOC)C3=NOCCO3),Training,1.717,2.7821338,Train
779,136426-54-5,O=C2c4cc(F)ccc4(N=C(n1ncnc1)N2c3ccc(cc3Cl)Cl),Training,1.94,2.435527,Train
780,61213-25-0,O=C2N(c1cccc(c1)C(F)(F)F)CC(CCl)C2Cl,Training,2.465,1.0746261,Train
781,56425-91-3,FC(F)(F)Oc1ccc(cc1)C(O)(c2cncnc2)C(C)C,Training,1.545,1.5708836,Train
782,96525-23-4,O=C2C(c1cccc(c1)C(F)(F)F)=C(OC2c3ccccc3)NC,Training,1.439,2.1701484,Train
783,66332-96-5,O=C(Nc1cccc(OC(C)C)c1)c2ccccc2C(F)(F)F,Training,2,2.1350338,Train
784,133-07-3,O=C1c2ccccc2(C(=O)N1SC(Cl)(Cl)Cl),Training,1.748,1.3456011,Train
786,1071-83-6,O=C([O-])CNCP(=O)(O)O,Training,-0.301,0.019865425,Test
787,78587-05-0,O=C(NC1CCCCC1)N3C(=O)SC(c2ccc(cc2)Cl)C3C,Training,3.041,2.1934614,Train
788,67485-29-4,FC(F)(F)c3ccc(C=CC(=NNC1=NCC(C)(C)CN1)C=Cc2ccc(cc2)C(F)(F)F)cc3,Training,4.543,2.7509968,Train
789,173584-44-6,O=C(OC)N(C(=O)N2N=C3c1ccc(cc1CC3(OC2)(C(=O)OC))Cl)c4ccc(OC(F)(F)F)cc4,Training,2.716,2.3158088,Train
790,36734-19-7,O=C(NC(C)C)N2C(=O)N(c1cc(cc(c1)Cl)Cl)C(=O)C2,Training,1.845,1.3284808,Train
791,140923-17-7,O=C(OC(C)C)NC(C(=O)NC(c1ccc(cc1)C)C)C(C)C,Training,1,1.5735223,Train
792,82558-50-7,O=C(Nc1onc(c1)C(C)(CC)CC)c2c(OC)cccc2(OC),Training,1.848,1.4654988,Train
793,141112-29-0,O=C(c1cnoc1C2CC2)c3ccc(cc3S(=O)(=O)C)C(F)(F)F,Training,1.041,1.1347913,Train
794,18854-01-8,n1oc(cc1OP(OCC)(OCC)=S)c2ccccc2,Training,2.863,2.3777447,Test
795,143390-89-0,O=C(OC)C(=NOC)c1ccccc1COc2ccccc2C,Training,2.342,1.8835232,Train
796,374726-62-2,O=C(NCCc1ccc(OCC#C)c(OC)c1)C(OCC#C)c2ccc(cc2)Cl,Training,1.681,2.5189905,Test
797,110235-47-7,C(#CC)c1nc(nc(c1)C)Nc2ccccc2,Training,2.447,1.650159,Train
798,15302-91-7,C[N+]1(C)(CCCCC1),Training,0.301,0.722808,Train
799,57837-19-1,O=C(OC)C(N(C(=O)COC)c1c(cccc1C)C)C,Training,0.845,1.1690379,Test
